ID,text_to_phonetise,phoneme_sequence
line_38,عِنْدِي دَوَا إِلِي.,E i n d i y d a w aa ' i l i y
line_39,لَازِم يْكُون هَادِي.,l aa z i m y k u w n h aa d i
line_40,لَا، هِيِّ بْتِتْضَمَّن الضَّرِيبِة وقِيمِة الخِدْمِة.,l aa h i yy b t i t D A mm n i DD rr I y b i t w ' I y m i t i l x I d m i t
line_41,رَاح يْكُون فِي عَشِر دَقَايِق إِنْتِظَار أَو إِشِي زَيّ هَيك.,r aa H y k u w n f i y E a $ i r d a ' aa y i ' ' i n t i z aa r ' a w ' i $ i y z a yy h a y k
line_42,كَم سِعِر الفُطُر الطَّبِيعِي؟,k a m s i E i r i l f u T U r i TT bb i y E i y
line_43,بِتْوَقَّع إِنِّي نْسِيت كَامِيرْتِي وَرَاي لَمَّا تْعَشَّيْت هُون اللَّيْلِة المَاضْيِة.,b i t w a '' E ' i nn y n s i y t k aa m i y r t i y w a r aa y l a mm aa t E a $$ y t h u w n i ll y l i t i l m aa D y I t
line_44,بِدِّي مْجَفِّف لِلشَّعِر.,b i dd i m j a ff f l i l $$ E i r
line_45,وَيْن أَقْرَب لْحَّام؟,w ein ' a ' r A b l HH aa m
line_46,اِحْنَا هَوْن مِن يَوْم.,' i H n aa h a w n m i n y a w m
line_47,شُو عَرْض الْأُوبِيرَا الْيُوم؟,$ uu E a r D i l ' u w b i y r aa i l y u w m
line_48,أَنَا رَايِح مشْوَار.,' a n aa r aa y i H m $ w aa r
line_49,قَدِّيْش فِيْه نَاس فِي الرِّحْلَات السِّيَاحِيِّة؟,' A dd y $ f i y h n aa s f i y i rr HH l aa t i ss y aa HH i yy t
line_50,صَحّ، وَأَنَا حَابِب أَسَجِّل التَّكَالِيف.,S A HH w a ' a n aa H aa b i b ' a s a jj l i tt kk aa l i y f
line_51,إِنْهِي الْمُكَالَمِة وَاسْتَنَّى شْوَي لَو سَمَحْت.,' i n h i y i l m u k aa l a m i t w aa s t a nn aa $ w a y l a w s a m a H t
line_52,هَاد الطَّرِيق بِوَدِّي لَلْبَحَر.,h aa d i TT rr I y ' b i w a dd y l a l b a H a r
line_53,تِسْعِيْن دُولَار لِتَذْكِرَة الذَّهَاب. كَاش وَإِلَّا بِطَاقَة؟,t i s E i y n d u w l aa r l i t a z k i r a t i zz hh aa b k aa $ w a ' i ll aa b i T aa ' A t
line_54,هَاد حَارّ كْتِير؟,h aa d H aa rr k t i y r
line_55,هَاي الشَّنْطَة بِتْلَائِم الجَوّ بِْكُلّ أَحْوَالُه؟,h ay i $$ nn T A t b i t l aa ' i m i l j a ww b i k u ll ' a H w aa l u h
line_56,عَلَى طَوكْيُو، لَو سَمَحْت.,E a l aa T A w k y u w l a w s a m a H t
line_57,عِنْدَك وَاحَد أَكْبَر؟,E i n d a k w aa H a d ' a k b a r
line_58,بَقْدَر آخُد بَرْنَامِج؟,b a ' d a r ' aa x U d b a r n aa m i j
line_59,الْمِيزَانِيِّة أَقَلّ مِن أَلْف دُولَار.,i l m i y z aa n i yy t ' a ' A ll m i n ' a l f d u w l aa r
line_60,لَو سَمَحْت أَعْطِينِي اِزِن مُرُور لَمُدِّة أُسْبُوع.,l a w s a m a H t ' a E T I y n i y ' i z i n m u r u w r l a m u dd t ' u s b u w E
line_61,أَوُوه، وَلَا اْشِي. اِنْت هُون، عَلَى كُلّ حَال.,' a w u w h w a l aa aa $ i y ' i n t h u w n E a l aa k u ll H i l
line_62,بِدْنَا زَاوْيِة هَادْيِة، اِزَا مُمْكِن.,b i d n aa z aa w y i t h aa d i ' i z aa m u m k i n
line_63,أَنَا رَايِح عَلَى بَارِيس.,' a n aa r aa y i H E a l aa b aa r i y s
line_64,تَمَام، بِدَّك تِشْرَب قَهْوِتَك هَلَّأ وَالَّا بَعْدِين؟,t a m aa m b i dd k t i $ r a b ' A h w i t a k h a ll ' w i l a aa b a E d i y n
line_65,بِدِّي أَبْعَت هَاد بِالإِيمِيل الجَوِّي عَلَى اليَابَان.,b i dd i ' a b E a t h aa d b i aa l ' i y m i y l i l j a ww y E a l aa i l y aa b aa n
line_66,أَنَا مُوَافِق. لَازِم يْكُون كْتِير طَبِيعِي.,' a n aa m u w aa f i ' l aa z i m y k u w n k t i y r T A b i y E i y
line_67,كَان رَوْعَة. شُكْراً الَّك.,k aa n r a w E a t $ u k r a n i l a k
line_68,لَحَوَالَيّ كَم يُوم.,l a H a w aa l a yy k a m y u w m
line_69,فِي بُوتِيك قَرِيب مِن هُون؟,f i y b u w t i y k ' A r I y b m i n h u w n
line_70,بِدّْهَا خَمْرَة.,b i dd h aa x A m r a t
line_71,بِدِّي كِيس بَشَّار، لَو سَمَحْت.,b i dd i k i y s b a $$ aa r l a w s a m a H t
